Designator,Mid X,Mid Y,Rotation,Layer
A1,111.49,-85.31,0.0,top
C1,76.63,-54.88,180.0,top
C2,90.367677,-59.5,0.0,top
D1,142.0,-68.78,270.0,top
D2,98.5,-60.0,270.0,top
J1,146.975,-101.6,0.0,top
J2,124.79,-56.975,270.0,top
J3,143.25,-56.975,270.0,top
J4,147.0,-73.75,0.0,top
J5,111.465,-57.0,270.0,top
J6,85.94,-70.525,90.0,top
J7,134.75,-56.975,270.0,top
Q1,123.73,-97.14,0.0,top
Q2,125.23,-85.64,0.0,top
Q3,125.23,-72.64,0.0,top
Q4,132.23,-72.64,0.0,top
Q5,138.73,-79.14,0.0,top
Q6,147.975,-82.64,0.0,top
Q7,139.0,-91.5,0.0,top
R1,128.5,-66.5,0.0,top
R2,128.5,-91.5,0.0,top
R3,128.5,-79.5,0.0,top
R4,129.0,-102.0,270.0,top
R5,137.5,-85.5,0.0,top
R6,138.5,-68.5,270.0,top
R7,137.58,-97.5,0.0,top
R8,137.58,-107.0,180.0,top
R9,137.58,-102.3,180.0,top
